"nbin","data_pileup","data_err","mc_pileup_average_norm","data_pileup_norm","ratio"
1,259022.8,30751.55,0.0000181361853707851,0.00000713098644399881,0.393191087222005
2,1322109,121190,0.0000251834395072763,0.0000363981138204391,1.44531940563252
3,2553142,195311.5,0.0000524101138121502,0.0000702888741516346,1.34113187396551
4,3905555,275704.4,0.0000885918705332137,0.000107521267476422,1.21366968356438
5,5445233,341888.8,0.000110734620827493,0.000149909130421781,1.35376930269455
6,6959695,399614.2,0.000142989100188599,0.00019160278824631,1.33998177478976
7,10071660,427479.7,0.00024377802097105,0.000277276251081237,1.13741283966763
8,30289870,708617.4,0.000719705405469332,0.000833890500606457,1.15865532517803
9,76040960,1068724,0.00130384687111307,0.00209343368594833,1.60558247469751
10,185086500,1872410,0.00243814487048112,0.00509549476905966,2.08990648207633
11,403769000,3121567,0.00502286111472872,0.0111158989305457,2.21306117701526
12,700099400,4272780,0.00921290762563555,0.0192739763868343,2.09206226416545
13,1035032000,5244163,0.0146744312393409,0.0284947856370365,1.94179830020563
14,1403411000,6138952,0.0204535034659742,0.0386363857404013,1.88898619762994
15,1771138000,7016123,0.0267515700163118,0.0487600360603436,1.82269810820868
16,2049370000,7556397,0.0337555198842521,0.0564198583628076,1.67142614174724
17,2214535000,7819374,0.0401372053508807,0.0609669074103164,1.51896244089098
18,2294873000,7863063,0.0450096202771385,0.0631786400799423,1.40366969752092
19,2336489000,7871274,0.0490538544836091,0.0643243428206024,1.31130047776563
20,2359282000,7995569,0.052504848074862,0.0649518419211375,1.23706370559397
21,2336601000,7997478,0.0548215848392339,0.0643274262189818,1.17339596087242
22,2253587000,7801211,0.0559753879440574,0.0620420223523642,1.10838039058112
23,2128461000,7573208,0.0554469610305764,0.0585972606951209,1.05681645316516
24,1976732000,7299201,0.0537679741695875,0.0544201093317602,1.01212869133056
25,1804470000,6947363,0.0512391392476586,0.0496776774423044,0.969525994615035
26,1619864000,6568791,0.0476914654388726,0.0445954110028989,0.93508158309914
27,1431252000,6183107,0.0435051779688265,0.0394028580107473,0.905705018353936
28,1242995000,5771268,0.039284454168414,0.0342200782902444,0.871084478952959
29,1057691000,5312570,0.0349916247884288,0.0291185956716534,0.832159005125205
30,879279000,4811730,0.030700463579901,0.0242068521747616,0.788484907133758
31,712984500,4289609,0.0272639648679511,0.0196287076052041,0.719950590468878
32,563501900,3769394,0.0237111272264636,0.0155134004036231,0.654266676377527
33,433680400,3267720,0.0208000109155453,0.0119393700223609,0.574007872920768
34,324346900,2785539,0.0182570636182836,0.00892938130177358,0.489091865398948
35,234848800,2315669,0.0160857460199702,0.00646546794023302,0.401937711325681
36,163765400,1858550,0.0142424480544213,0.00450851757990433,0.316554960402665
37,109332700,1427690,0.0127993900684885,0.00300996669631318,0.235164853966251
38,69503380,1043469,0.0115750252354707,0.00191345186829923,0.165308656298702
39,41890580,723202.8,0.010550837164912,0.00115326202215113,0.109305262144167
40,23868440,474786,0.00957742275072699,0.000657106332258778,0.0686099328975427
41,12836620,295515.2,0.00890275850093659,0.000353396547357082,0.039695173953096
42,6513343,174866.9,0.00828307680551582,0.00017931456473374,0.0216483039991047
43,3119603,98798.25,0.00763392845912128,0.0000858837395922599,0.0112502678080043
44,1412542,53609.71,0.00696899032047765,0.0000388877652993442,0.00558011469539232
45,606631.3,28253.76,0.00620832179272203,0.0000167007675648838,0.00269006152104776
46,248890,15020.69,0.00547774058230865,0.00000685202698776658,0.0012508856315497
47,99263.53,9025.093,0.00484018291418648,0.00000273275899578519,0.000564598289824033
48,40137.22,6943.893,0.00407281641516267,0.00000110499142052282,0.000271308919402567
49,17966.36,6360.908,0.00337344084578009,0.000000494620047378078,0.000146621823233334
50,9994.005,6124.497,0.00270882266126294,0.000000275138382321002,0.000101571205179125
51,7159.277,5918.197,0.00212764947735988,0.000000197097349097579,0.0000926361936939679
52,6071.36,5683.051,0.00160394561279288,0.000000167146621288306,0.000104209656459149
53,5535.195,5414.046,0.00117547865865733,0.000000152385815109288,0.000129637245208134
54,5154.569,5115.681,0.000861309171274856,0.000000141907050899212,0.000164757389833862
55,4807.443,4794.138,0.00056599015594087,0.000000132350553168667,0.000233838966595903
56,4460.928,4455.958,0.000367008772565391,0.000000122810876477494,0.000334626542082486
57,4109.698,4107.673,0.000244203441549255,0.000000113141394220621,0.000463307943175734
58,3756.455,3755.575,0.000159268930605085,0.000000103416493383948,0.000649319945773816
59,3405.931,3405.534,0.000100152989282999,0.0000000937664475490008,0.000936232140650817
60,3063.024,3062.843,0.0000663474317634276,0.0000000843261003341907,0.00127097761123398
61,2732.189,2732.106,0.0000366576394538968,0.0000000752180994161235,0.00205190788432308
62,2417.202,2417.164,0.0000263122754715286,0.0000000665463993687306,0.00252910089211926
63,2121.077,2121.06,0.0000211559498880688,0.0000000583939766448269,0.00276016803564841
64,1846.044,1846.036,0.000018001240951283,0.0000000508222239085723,0.00282326224320385
65,1593.568,1593.565,0.0000147495496750255,0.000000043871473111982,0.0029744279709276
66,1364.407,1364.405,0.0000134672233635421,0.0000000375625922548018,0.00278918610323861
67,1158.678,1158.677,0.0000129638514209533,0.0000000318988023871244,0.00246059611077976
68,975.9518,975.9515,0.0000134511074322115,0.0000000268682874858748,0.00199747772599994
69,815.3458,815.3457,0.0000136266778738473,0.00000002244674927061,0.00164726498112137
70,675.6222,675.6221,0.0000143786270006445,0.0000000186001106831702,0.00129359435239098
71,555.284,555.284,0.0000135103388326586,0.0000000152871588005745,0.00113151557410394
72,452.6642,452.6642,0.0000130522703888516,0.0000000124620005415877,0.000954776461896774
73,366.0051,366.0051,0.0000140017744744706,0.0000000100762458228945,0.000719640631354721
74,293.5272,293.5272,0.0000136933854453648,0.00000000808090439970894,0.000590131960569644
75,233.4855,233.4855,0.0000124330202635978,0.00000000642793582406755,0.000517005175555585
76,184.2137,184.2137,0,0.00000000507146628597507,Inf
77,144.1565,144.1565,0,0.00000000396867784347291,Inf
78,111.8913,111.8913,0,0.00000000308040583107512,Inf
79,86.14071,86.14071,0,0.00000000237148326435523,Inf
80,65.77641,65.77641,0,0.00000000181084710706898,Inf
81,49.81741,49.81741,0,0.00000000137149036835804,Inf
82,37.42321,37.42321,0,0.00000000103027379520614,Inf
83,27.88364,27.88364,0,0.00000000076764616415753,Inf
84,20.60659,20.60659,0,0.000000000567306484012378,Inf
85,15.10464,15.10464,0,0.000000000415835915145239,Inf
86,10.98151,10.98151,0,0.000000000302324733361841,Inf
87,7.918819,7.918819,0,0.00000000021800780063176,Inf
88,5.663765,5.663765,0,0.000000000155925391266695,Inf
89,4.017871,4.017871,0,0.00000000011061336544403,Inf
90,2.827042,2.827042,0,0.0000000000778294350096412,Inf
91,1.972938,1.972938,0,0.0000000000543156592116606,Inf
92,1.36565,1.36565,0,0.0000000000375968124707438,Inf
93,0.9375825,0.9375825,0,0.0000000000258119675087696,Inf
94,0.6384447,0.6384447,0,0.0000000000175766013684621,Inf
95,0.4312017,0.4312017,0,0.0000000000118711305619785,Inf
96,0.2888554,0.2888554,0,0.0000000000079522881448114,Inf
97,0.1919213,0.1919213,0,0.00000000000528365915515788,Inf
98,0.1264759,0.1264759,0,0.00000000000348192486681693,Inf
99,0.0826674,0.0826674,0,0.0000000000022758618498473,Inf
100,0.05359227,0.05359227,0,0.00000000000147541355769888,Inf
